Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
"VJ0603Y104JXJAC","","C0, C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46","CAPC1608X92X38LL15T08","CMP-1035-02583-2","47","C109474"
"53261-0371","CONN HEADER SMD R/A 3POS 1.25MM","J1","FP-53261-0371-MFG","CMP-04776-000071-1","1","C22075"
"1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U0, U1, U2, U3, U4, U5, U6, U7, U8, U9, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U40, U41, U42, U43, U44, U45, U46","ADA-RGB-1655_V","CMP-2000-05026-1","47","C22371521"
